Crm Cd,percent_m,percent_f,diff
236,22.449199010859047,77.44328566820772,54.994086657348674
901,23.699421965317917,75.64161849710983,51.942196531791915
626,24.15596490208612,75.65518042884537,51.49921552675925
352,28.652482269503547,70.63829787234043,41.98581560283688
354,40.30441469151438,58.52406368735299,18.21964899583861
627,47.70459081836327,51.936127744510976,4.2315369261477045
251,44.40184049079755,47.08588957055215,2.684049079754601
440,47.18237116951681,42.56283713990589,-4.619534029610925
624,52.37649350162927,47.046705869133675,-5.329787632495595
740,46.66140904311251,34.415925819711305,-12.245483223401209
420,55.49560659781101,41.50608910127948,-13.989517496531533
330,56.23738203671533,41.62636743509085,-14.611014601624483
331,59.15711313287911,36.922198196728004,-22.234914936151107
310,49.9514751552795,27.22001164596273,-22.73146350931677
442,41.62584200857318,6.085425597060625,-35.54041641151255
210,59.95628321618378,24.155666038059316,-35.80061717812446
220,64.48832035595106,25.806451612903224,-38.681868743047836
230,71.40185000128116,26.789145975862866,-44.612704025418296
